placeId:ID(Place-ID),:LABEL
193,Place
194,Place
197,Place
198,Place
199,Place
200,Place
202,Place
203,Place
204,Place
205,Place
207,Place
208,Place
212,Place
213,Place
215,Place
216,Place
218,Place
219,Place
220,Place
223,Place
224,Place
228,Place
229,Place
230,Place
232,Place
237,Place
239,Place
240,Place
241,Place
242,Place
244,Place
245,Place
246,Place
247,Place
248,Place
251,Place
407,Place
48,Place
409,Place
410,Place
412,Place
413,Place
150,Place
414,Place
417,Place
419,Place
421,Place
424,Place
426,Place
427,Place
428,Place
429,Place
431,Place
149,Place
432,Place
435,Place
436,Place
364,Place
439,Place
441,Place
442,Place
12,Place
443,Place
339,Place
445,Place
152,Place
446,Place
447,Place
449,Place
451,Place
54,Place
452,Place
453,Place
454,Place
455,Place
457,Place
458,Place
460,Place
495,Place
496,Place
497,Place
11,Place
498,Place
360,Place
499,Place
502,Place
503,Place
504,Place
505,Place
506,Place
508,Place
511,Place
512,Place
516,Place
172,Place
519,Place
521,Place
523,Place
524,Place
526,Place
528,Place
529,Place
531,Place
59,Place
536,Place
538,Place
539,Place
540,Place
541,Place
542,Place
544,Place
547,Place
549,Place
307,Place
554,Place
557,Place
560,Place
561,Place
562,Place
563,Place
564,Place
565,Place
566,Place
568,Place
570,Place
571,Place
572,Place
573,Place
574,Place
575,Place
41,Place
577,Place
579,Place
582,Place
583,Place
585,Place
590,Place
593,Place
594,Place
595,Place
596,Place
597,Place
156,Place
599,Place
619,Place
284,Place
621,Place
624,Place
626,Place
627,Place
304,Place
103,Place
630,Place
600,Place
632,Place
637,Place
641,Place
642,Place
643,Place
397,Place
647,Place
701,Place
702,Place
703,Place
704,Place
707,Place
708,Place
710,Place
711,Place
713,Place
714,Place
715,Place
717,Place
718,Place
719,Place
721,Place
723,Place
724,Place
726,Place
727,Place
728,Place
730,Place
731,Place
161,Place
736,Place
737,Place
738,Place
739,Place
740,Place
741,Place
742,Place
7,Place
743,Place
744,Place
745,Place
176,Place
746,Place
748,Place
750,Place
751,Place
752,Place
753,Place
754,Place
755,Place
756,Place
758,Place
759,Place
760,Place
761,Place
763,Place
766,Place
767,Place
769,Place
770,Place
771,Place
773,Place
774,Place
775,Place
799,Place
800,Place
802,Place
803,Place
111,Place
808,Place
809,Place
320,Place
811,Place
812,Place
814,Place
815,Place
816,Place
817,Place
818,Place
819,Place
821,Place
823,Place
825,Place
826,Place
828,Place
830,Place
831,Place
832,Place
833,Place
